,평균 월수익률,월수익률 표준편차,최고 월수익률,최저 월수익률,양(+)의 월 비율
conservative,0.5052595468862618,2.9961985395789115,5.529724030722094,-4.9848770802605635,72.72727272727273
aggressive,2.8191749668435397,5.569451973610798,9.318507341114524,-5.930806504028762,63.63636363636363
neutral,0.5808538829485298,3.844369996416497,6.461122460131885,-5.398804103431165,54.54545454545454
BM_KOSPI200,1.177466727588459,4.791173750709188,10.746901500326178,-6.737642585551306,45.45454545454545
BM_MultiAsset,1.1890317276137814,1.8509611424598424,3.920349114699051,-1.5444250554738082,81.81818181818183
BM_HighVolatility,3.304326217241946,9.956984965637396,17.172100075815,-13.323239969719891,72.72727272727273
BM_KOSPI_MA200,0.08620922891451939,0.18642099020921135,0.5780947731915953,0.0,27.27272727272727
BM_FactorBalance,1.4897296368408026,3.515027563962226,6.466482011760033,-4.1063840741739295,63.63636363636363
