,평균 월수익률,월수익률 표준편차,최고 월수익률,최저 월수익률,양(+)의 월 비율
conservative,0.36241685610822244,1.6559653714647022,3.0627335947549295,-2.8141441731106887,63.63636363636363
aggressive,-0.5794339118384532,5.5338544431567405,8.914060529597334,-8.702717995035448,45.45454545454545
neutral,-0.25812136589145857,3.3866508957457846,4.977101026224551,-3.84086917690305,36.36363636363637
BM_KOSPI200,-0.39797916784878423,4.47304044157201,7.039711191335729,-4.786885245901629,27.27272727272727
BM_MultiAsset,1.5837292522020465,2.3815767213063843,6.59373159549852,-0.9473824364952366,63.63636363636363
BM_HighVolatility,-0.6866547596773066,6.670315973832475,12.464817048652964,-10.739575137686863,27.27272727272727
BM_KOSPI_MA200,-0.10608461412656599,0.27096648071069424,0.0,-0.8974106782345892,0.0
BM_FactorBalance,0.7449834580372022,3.320322420192121,7.211954829430667,-4.858265889024304,54.54545454545454
