전략,누적수익률_2023,누적수익률_2024,누적수익률_차이,CAGR_2023,CAGR_2024,CAGR_차이,최대낙폭(MDD)_2023,최대낙폭(MDD)_2024,최대낙폭(MDD)_차이,샤프지수_2023,샤프지수_2024,샤프지수_차이,승률_2023,승률_2024,승률_차이
CONSERVATIVE,9.22%,3.08%,-6.14%p,9.36%,3.10%,-6.26%p,-9.31%,-3.83%,+5.48%p,1.09%,0.54%,-0.55%p,53.70%,58.00%,+4.30%p
AGGRESSIVE,44.89%,-20.02%,-64.91%p,45.67%,-20.13%,-65.80%p,-11.09%,-28.99%,-17.90%p,2.64%,-0.85%,-3.49%p,55.70%,44.40%,-11.30%p
NEUTRAL,13.63%,-7.15%,-20.78%p,13.85%,-7.19%,-21.04%p,-12.36%,-17.44%,-5.08%p,1.13%,-0.40%,-1.53%p,52.50%,51.40%,-1.10%p
